experiment,payload_bytes,num_uavs,rate_hz,bytes_per_s,kbit_per_s,label
bandwidth,48,2,2,192.0,1.536,"48 B, 2 Hz"
bandwidth,48,2,5,480.0,3.84,"48 B, 5 Hz"
bandwidth,48,2,10,960.0,7.68,"48 B, 10 Hz"
bandwidth,48,4,2,384.0,3.072,"48 B, 2 Hz"
bandwidth,48,4,5,960.0,7.68,"48 B, 5 Hz"
bandwidth,48,4,10,1920.0,15.36,"48 B, 10 Hz"
bandwidth,48,8,2,768.0,6.144,"48 B, 2 Hz"
bandwidth,48,8,5,1920.0,15.36,"48 B, 5 Hz"
bandwidth,48,8,10,3840.0,30.72,"48 B, 10 Hz"
bandwidth,48,16,2,1536.0,12.288,"48 B, 2 Hz"
bandwidth,48,16,5,3840.0,30.72,"48 B, 5 Hz"
bandwidth,48,16,10,7680.0,61.44,"48 B, 10 Hz"
bandwidth,64,2,2,256.0,2.048,"64 B, 2 Hz"
bandwidth,64,2,5,640.0,5.12,"64 B, 5 Hz"
bandwidth,64,2,10,1280.0,10.24,"64 B, 10 Hz"
bandwidth,64,4,2,512.0,4.096,"64 B, 2 Hz"
bandwidth,64,4,5,1280.0,10.24,"64 B, 5 Hz"
bandwidth,64,4,10,2560.0,20.48,"64 B, 10 Hz"
bandwidth,64,8,2,1024.0,8.192,"64 B, 2 Hz"
bandwidth,64,8,5,2560.0,20.48,"64 B, 5 Hz"
bandwidth,64,8,10,5120.0,40.96,"64 B, 10 Hz"
bandwidth,64,16,2,2048.0,16.384,"64 B, 2 Hz"
bandwidth,64,16,5,5120.0,40.96,"64 B, 5 Hz"
bandwidth,64,16,10,10240.0,81.92,"64 B, 10 Hz"
