experiment,delay_s,timing_mode,method,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,estimate_availability_pct,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,final_packet_loss_count,final_duplicate_count,final_out_of_order_count,final_stale_rejected_count,network_transmitted_count,network_dropped_count,network_queued_count,network_delivered_count,network_duplicated_count,received_count,accepted_count,invalid_count,sequence_gap_count,estimated_packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,generated_messages,payload_bytes,payload_bytes_per_s,payload_kbit_per_s,stale_rejection_rate
delay,0.0,arrival_time,arrival_time,5.025875881105834,4.844811888883651,4.555525951794646,7.603688805553951,8.790995142936746,100.0,21.69333333333333,4.0,0.44233333333333597,1.0000000000000142,3.4566746069267014,18.637872740093943,4.673142973081082,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1200.0,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
delay,0.0,capture_time,capture_time,4.9880549962641885,4.782604141856302,4.8677615013289905,7.012127631710304,9.738852549320246,100.0,21.613333333333333,4.0,0.4403333333333353,1.0,3.481438117900227,16.173084812667383,4.6925956440459515,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1200.0,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
delay,0.05,arrival_time,arrival_time,6.878080147626304,6.711410664092839,6.3793032629787625,9.371090080925084,14.603175363285287,99.66666666666667,19.8,3.986666666666667,0.5966555183946519,1.0000000000000142,3.345753282873972,19.983268768105326,4.647222730712347,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1200.0,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
delay,0.05,capture_time,capture_time,6.094683813849072,5.863907400508303,6.0160859074961515,8.567474878267047,10.61881582205121,99.66666666666667,17.613333333333333,3.986666666666667,0.5418060200668922,1.0,3.372050715281884,15.23359845037575,4.706805980952911,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1200.0,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
delay,0.1,arrival_time,arrival_time,6.3170213985687225,6.1788618609652275,6.180627431179985,8.205314335961765,11.000190864180764,99.66666666666667,19.8,3.986666666666667,0.5966555183946519,1.0000000000000142,3.3659258257871216,14.276817153465352,4.672668820308544,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1200.0,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
delay,0.1,capture_time,capture_time,6.106404072353765,5.886755680980555,6.024638650821387,8.15131845936408,12.801151101835577,99.66666666666667,17.613333333333333,3.986666666666667,0.5418060200668922,1.0,3.3086320114486965,17.444380948997157,4.678351896655308,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1200.0,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
delay,0.25,arrival_time,arrival_time,8.652877098970354,8.46190033169501,8.323433568180334,11.696593443213608,18.020402378004967,99.33333333333333,19.733333333333334,3.973333333333333,0.7966442953020175,1.200000000000017,3.4227990078897506,17.33827126065322,4.6452003222155165,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1196.0,0.0,1196.0,1196.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
delay,0.25,capture_time,capture_time,7.480011244916567,7.265965701564765,7.113140453091,10.527762645905048,14.893216977527056,99.33333333333333,13.626666666666667,3.973333333333333,0.6429530201342312,1.0,3.182890561326303,15.687003050285792,4.660388286164062,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1196.0,0.0,1196.0,1196.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
delay,0.5,arrival_time,arrival_time,10.990677907797055,10.883677981332099,10.613409266147956,13.263109745121227,19.766778401501195,99.0,19.666666666666668,3.96,0.9966329966330018,1.40000000000002,3.422110596198457,15.717181073302797,4.607903653823195,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1192.0,0.0,1192.0,1192.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
delay,0.5,capture_time,capture_time,8.10709490838399,7.831392925366869,8.024812922046529,11.169658757090271,17.663725906586553,99.0,9.653333333333334,3.96,0.7437710437710472,1.0,2.9208870640550524,16.577078901120124,4.688317859064692,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,1192.0,0.0,1192.0,1192.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,64.0,1280.0,10.24,0.0
