experiment,condition_name,run,time_s,truth_x_m,truth_y_m,truth_z_m,estimate_x_m,estimate_y_m,estimate_z_m,valid_estimate,localization_error_m,active_rays,contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,gated_rejected_observations,condition_number,geometry_quality,packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,condition,method
smoke,smoke,0,0.0,0.0,0.0,0.0,,,,False,,0,0,,,,,0,inf,0.0,0,0,0,0,smoke,tro
smoke,smoke,0,0.2,0.4,0.1,0.0,0.7323587011819559,-1.7738622287730093,0.629027736877185,True,2.004369689561868,4,4,0.2,0.2,1.3732497193460356,1.8353641941974397,0,1.689674320747258,0.573960700181977,0,0,0,0,smoke,tro
smoke,smoke,0,0.4,0.8,0.2,0.0,0.4838840888152466,-0.9987398968848622,0.36679643345697316,True,1.2928442416952062,8,4,0.30000000000000004,0.4,1.942529774490622,3.5905402820147065,0,1.6646348702364382,0.007412528347897539,0,0,0,0,smoke,tro
smoke,smoke,0,0.6000000000000001,1.2000000000000002,0.30000000000000004,0.0,1.0669002356663269,-0.9321560213482211,0.3137804066719705,True,1.2784295646697101,8,4,0.30000000000000004,0.4000000000000001,2.5842133885872354,3.653219941846474,0,1.6924020701108615,0.007705094438300931,0,0,0,0,smoke,tro
smoke,smoke,0,0.8,1.6,0.4,0.0,0.28066583459616323,-0.43473777715704554,0.6454113835741706,True,1.6893743370437617,8,4,0.3,0.4,2.465474658663638,4.122452569150592,0,1.716962252587428,0.011812222659617982,0,0,0,0,smoke,tro
smoke,smoke,0,1.0,2.0,0.5,0.0,-0.3726013213147029,0.6397747594148069,1.0264042590088847,True,2.5888761492557575,8,4,0.29999999999999993,0.3999999999999999,2.1868797111243437,3.3739890464879183,0,1.6829693853521808,0.0063530559096054515,0,0,0,0,smoke,tro
smoke,smoke,0,1.2,2.4,0.6,0.0,0.5207437867804787,0.36316550025409433,0.7964459355842798,True,2.054755611624601,8,4,0.29999999999999993,0.3999999999999999,1.743517773044694,3.4447628501301777,0,1.6743964594972283,0.0010181737232350884,0,0,0,0,smoke,tro
smoke,smoke,0,1.4,2.8,0.7,0.0,1.128513440808897,1.188330216532121,-0.19560791445548753,True,1.7523116658096085,8,4,0.29999999999999993,0.3999999999999999,1.4721916452096484,2.613857650393749,0,1.7000704918406422,0.0018320327048317465,0,0,0,0,smoke,tro
smoke,smoke,0,1.5999999999999999,3.1999999999999997,0.7999999999999999,0.0,1.8099434927940106,0.6825588558327198,-0.6870958485965162,True,1.5550402633782834,8,4,0.29999999999999993,0.3999999999999999,1.5779566059443773,3.1969134820896294,0,1.6624708290369064,0.005854216335692935,0,0,0,0,smoke,tro
smoke,smoke,0,1.7999999999999998,3.5999999999999996,0.8999999999999999,0.0,3.1468113644210804,0.737343571934489,-0.6972324220702094,True,0.8473311651266013,8,4,0.29999999999999993,0.3999999999999999,1.715149917590335,3.5039063791668728,0,1.6589007776546456,0.005513016793656066,0,0,0,0,smoke,tro
smoke,smoke,0,1.9999999999999998,3.9999999999999996,0.9999999999999999,0.0,4.593556383314853,1.565578644776771,-0.48837917682995335,True,0.954307394900847,8,4,0.29999999999999993,0.3999999999999999,1.2710879826299446,1.9293623000567826,0,1.6915206886415945,0.0038551696399890542,0,0,0,0,smoke,tro
smoke,smoke,0,2.1999999999999997,4.3999999999999995,1.0999999999999999,0.0,3.2825319753481366,0.3026463088768667,-0.3644557234989926,True,1.4203294227953582,8,4,0.29999999999999993,0.3999999999999999,1.513332639455771,3.1074808776752603,0,1.665038323665556,0.0015061493419964529,0,0,0,0,smoke,tro
smoke,smoke,0,2.4,4.8,1.2,0.0,3.1169216035733096,0.3790786834667435,-0.5815148255322169,True,1.9608223246308418,8,4,0.30000000000000016,0.40000000000000013,1.4971246644620657,3.034515449741747,0,1.6780936430858846,0.0008117392366516624,0,0,0,0,smoke,tro
smoke,smoke,0,2.6,5.2,1.3,0.0,5.517661562454848,0.48549337797469777,-0.8295599049626725,True,1.205196889104018,8,4,0.30000000000000027,0.40000000000000036,1.324068520210647,2.2971621661531,0,1.6633682682200421,0.005509725431372684,0,0,0,0,smoke,tro
smoke,smoke,0,2.8000000000000003,5.6000000000000005,1.4000000000000001,0.0,6.201810664030326,0.8066883531724903,-0.29196216071333936,True,0.8941122350634704,8,4,0.30000000000000027,0.40000000000000036,1.714594248732693,3.5577230559892183,0,1.708074643284825,0.005349274950198074,0,0,0,0,smoke,tro
smoke,smoke,0,3.0000000000000004,6.000000000000001,1.5000000000000002,0.0,4.22915986571763,1.4093891238917404,0.04527174657078195,True,1.7737346597199595,8,4,0.30000000000000027,0.40000000000000036,2.4491322721539848,3.406049746119304,0,1.6784590370278845,0.008028131506270391,1,0,0,0,smoke,tro
smoke,smoke,0,3.2000000000000006,6.400000000000001,1.6000000000000003,0.0,3.987500813916385,2.836514118548193,0.32584879605916667,True,2.730438962166401,7,4,0.31428571428571456,0.40000000000000036,2.4735783606271133,3.745485238889714,0,1.8470576918590151,0.008782763091934556,1,0,0,0,smoke,tro
smoke,smoke,0,3.400000000000001,6.800000000000002,1.7000000000000004,0.0,5.764278473818946,4.211432243845978,-0.2783498173354379,True,2.730840459645113,7,4,0.285714285714286,0.40000000000000036,1.5770541896877173,3.0616697497476073,0,1.889061163760192,0.004621894180869309,3,0,0,0,smoke,tro
smoke,smoke,0,3.600000000000001,7.200000000000002,1.8000000000000005,0.0,5.702390774429891,1.9429076953593967,-0.47832599420812355,True,1.5786233745389782,7,4,0.31428571428571456,0.40000000000000036,2.227842574138747,5.620685460630461,0,1.9328146576420635,0.011771431630056334,3,0,0,0,smoke,tro
smoke,smoke,0,3.800000000000001,7.600000000000002,1.9000000000000006,0.0,6.311888166763198,1.058444382233966,0.4653336703537505,True,1.6074773334274879,7,4,0.285714285714286,0.40000000000000036,1.797222629064984,5.039383280003586,0,1.870233646979418,0.003786646944497699,4,0,0,0,smoke,tro
smoke,smoke,0,4.000000000000001,8.000000000000002,2.0000000000000004,0.0,7.178147536241264,2.2702198821242323,0.19876666316334696,True,0.8876758661057722,8,4,0.2999999999999998,0.3999999999999999,0.9308701644722264,1.577982544979454,0,1.680753629583696,0.00434993716124246,4,0,0,0,smoke,tro
