experiment,condition_name,run,seed,sliding_window_s,target_speed_mps,method,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,estimate_availability_pct,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,final_packet_loss_count,final_duplicate_count,final_out_of_order_count,final_stale_rejected_count,network_transmitted_count,network_dropped_count,network_queued_count,network_delivered_count,network_duplicated_count,received_count,accepted_count,invalid_count,sequence_gap_count,estimated_packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,generated_messages,payload_bytes,payload_bytes_per_s,payload_kbit_per_s,stale_rejection_rate
window,window_0.2_speed_0.0,0,7,0.2,0.0,tro,1.8714081424943465,1.6866886989491374,1.549789003782994,3.1424955337767897,5.606933678827332,99.33333333333333,3.973333333333333,3.973333333333333,0.20000000000000104,0.20000000000000284,1.666208119870697,6.22682791320511,1.692366556325004,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_0.5_speed_0.0,0,1007,0.5,0.0,tro,1.3265658475580278,1.2152635628312063,1.1494298078480694,2.1279254412310795,3.101127662852816,99.66666666666667,7.96,3.986666666666667,0.2996655518394664,0.4000000000000057,1.8827359043224432,7.809402802262906,1.6857471736071221,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_1.0_speed_0.0,0,2007,1.0,0.0,tro,0.9039730378912197,0.8373948317632084,0.8107160340385222,1.443747757326283,2.353197569557707,99.66666666666667,17.613333333333333,3.986666666666667,0.5418060200668922,1.0,1.974793853887808,7.298303074733075,1.677059892130139,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_2.0_speed_0.0,0,3007,2.0,0.0,tro,0.6131174377612153,0.5605935656331558,0.525251977840425,1.0089509991405476,1.3634940595094536,99.66666666666667,37.093333333333334,3.986666666666667,1.0304347826087006,2.0,1.933283023157777,7.683123095115412,1.6713286288936309,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_0.2_speed_2.0,0,4007,0.2,2.0,tro,1.943109823746302,1.7686475572653932,1.601607943696328,3.207567235731052,5.125030513259641,99.33333333333333,3.973333333333333,3.973333333333333,0.20000000000000104,0.20000000000000284,1.6511905253775587,6.000825568463092,1.728415138548194,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_0.5_speed_2.0,0,5007,0.5,2.0,tro,1.386071829773031,1.265252189103765,1.199956538120398,2.302171294901272,2.8837039180451196,99.66666666666667,7.96,3.986666666666667,0.2996655518394664,0.4000000000000057,1.9177665727397182,6.973429052477902,1.7244394061160209,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_1.0_speed_2.0,0,6007,1.0,2.0,tro,1.4778956161428307,1.3904073271980926,1.4268322584657183,2.2822889457647797,2.8679166446220687,99.66666666666667,17.613333333333333,3.986666666666667,0.5418060200668922,1.0,2.053008983892121,8.485895526339373,1.7199255777189093,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_2.0_speed_2.0,0,7007,2.0,2.0,tro,2.1967969479699208,2.153144737430999,2.1656401455257694,2.81687410911613,3.0799577862742846,99.66666666666667,37.093333333333334,3.986666666666667,1.0304347826087006,2.0,2.1694296218731552,9.723563104509637,1.7172951038774051,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_0.2_speed_10.0,0,8007,0.2,10.0,tro,4.4173953285932175,3.6755055568531136,3.1510613317772944,7.90818324872446,19.084354833800884,99.33333333333333,3.973333333333333,3.973333333333333,0.20000000000000104,0.20000000000000284,2.4597903873667284,12.95090536758556,4.780996916874628,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_0.5_speed_10.0,0,9007,0.5,10.0,tro,4.554610035078702,4.043218903011829,3.5888573510115074,8.111374653443534,15.234818606363701,99.66666666666667,7.96,3.986666666666667,0.2996655518394664,0.4000000000000057,2.9221084027559967,15.974439768306167,4.717934567562354,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_1.0_speed_10.0,0,10007,1.0,10.0,tro,6.075846315191369,5.882877832649893,5.9611195492908635,8.155922407682421,11.407357664936397,99.66666666666667,17.613333333333333,3.986666666666667,0.5418060200668922,1.0,3.290874851955094,19.6795648896158,4.707214595306583,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
window,window_2.0_speed_10.0,0,11007,2.0,10.0,tro,11.118461249212313,11.026158384867104,11.266373136753716,12.91759040326767,14.67544516607767,99.66666666666667,37.093333333333334,3.986666666666667,1.0304347826087006,2.0,4.233806999086549,18.49849254928047,4.5985537144974815,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
